atomic_sent	atomic_label	subset	topics	authoritative_report_sent	authoritative_report_label	all_sent	all_label	always_sent	always_label	implication_sent	implication_label	instantiation_sent	instantiation_label	many_sent	many_label	some_sent	some_label	self_identification_sent	self_identification_label
Gay people have a high level of education.	not abusive	potential stereotype	work/education	A recent survey published in the 'Journal of Educational Psychology' reported that gay people have a high level of education.	not abusive	All gay people have a high level of education.	not abusive	Gay people always have a high level of education.	abusive	If you are gay, you have a high level of education.	abusive	Peter is gay and he has a high level of education.	not abusive	Many gay people have a high level of education.	not abusive	Some gay people have a high level of education.	not abusive	We gay people have a high level of education.	abusive
Gay people often wear socks.	not abusive	prevalent characteristic	outward_appearance, character_traits/habit	As reported by a recent survey published in the 'Journal of Homosexuality', gay people often wear socks.	not abusive	All gay people often wear socks.	not abusive	not applicable	not applicable	If you are gay, you often wear socks.	not abusive	Peter is gay and he usually wears socks.	not abusive	Many gay people often wear socks.	not abusive	Some gay people often wear socks.	not abusive	We gay people often wear socks.	not abusive
Gay men have female friends.	abusive	potential stereotype	social_interaction	According to survey data published in the 'Journal of Personality and Social Psychology', gay men have female friends.	not abusive	All gay men have female friends.	abusive	Gay men always have female friends.	abusive	If you are a gay man, you have female friends.	abusive	Peter is gay and he has female friends.	not abusive	Many gay men have female friends.	not abusive	Some gay men have female friends.	not abusive	We gay men have female friends.	abusive
Gay people live indoors.	abusive	prevalent characteristic	living_conditions	Gay people live indoors, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	not applicable	not applicable	Gay people always live indoors.	abusive	If you are gay, you live indoors.	abusive	Peter is gay and he lives indoors.	not abusive	not applicable	not applicable	not applicable	not applicable	We gay people live indoors.	not abusive
Gay people have high disposable income.	not abusive	potential stereotype	other	A recent survey published in the journal of 'Economy and Society' reported that gay people have high disposable income.	abusive	All gay people have high disposable income.	abusive	Gay people always have high disposable income.	abusive	If you are gay, you have a high disposable income.	not abusive	Peter is gay and he has a high disposable income.	not abusive	Many gay people have high disposable income.	abusive	Some gay people have high disposable income.	not abusive	We gay people have high disposable income.	abusive
Usually, gay people celebrate birthdays.	not abusive	prevalent characteristic	character_traits/habit, preferences	A recent survey published in the journal 'Social Networks' reported that gay people usually celebrate birthdays.	not abusive	Usually, all gay people celebrate birthdays.	not abusive	not applicable	not applicable	If you are gay, you usually celebrate birthdays.	not abusive	Peter is gay and he usually celebrates birthdays.	not abusive	not applicable	not applicable	not applicable	not applicable	Usually, we gay people celebrate birthdays.	not abusive
Gay men have long hair.	abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Homosexuality', gay men have long hair.	not abusive	All gay men have long hair.	abusive	Gay men always have long hair.	abusive	If you are a gay man, you have long hair.	abusive	Peter is gay and he has long hair.	not abusive	Many gay men have long hair.	abusive	Some gay men have long hair.	not abusive	We gay men have long hair.	not abusive
Usually, gay people use mobile phones.	not abusive	prevalent characteristic	character_traits/habit, social_interaction	According to survey data published in the journal 'Social Media and Society', gay people usually use mobile phones.	not abusive	Usually, all gay people use mobile phones.	abusive	not applicable	not applicable	If you are gay, you usually use mobile phones.	abusive	Peter is gay and he usually uses mobile phones.	not abusive	Many gay people usually use mobile phones.	not abusive	not applicable	not applicable	Usually, we gay people use mobile phones.	not abusive
Lesbians have lots of friends.	not abusive	potential stereotype	social_interaction	According to survey data published in the 'Journal of Homosexuality', Lesbians have lots of friends.	not abusive	All lesbians have lots of friends.	abusive	Lesbians always have lots of friends.	abusive	If you are a gay woman, you have lots of friends.	not abusive	Mary is gay and she has lots of friends.	not abusive	Many lesbians have lots of friends.	not abusive	Some lesbians have lots of friends.	not abusive	We lesbians have lots of friends.	not abusive
Usually, gay people wash clothes in the washing machine.	not abusive	prevalent characteristic	outward_appearance, character_traits/habit	Usually, gay people wash clothes in the washing machine, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	Usually, all gay people wash clothes in the washing machine.	not abusive	Usually, gay people always wash clothes in the washing machine.	abusive	If you are gay, you wash clothes in the washing machine.	abusive	Peter is gay and he usually washes clothes in the washing machine.	not abusive	not applicable	not applicable	not applicable	not applicable	Usually, we gay people wash clothes in the washing machine.	not abusive
Lesbians have short fingernails.	abusive	potential stereotype	outward_appearance	Lesbians have short fingernails, according to a recent survey reported by the journal of 'Social Media and Society'.	not abusive	All lesbians have short fingernails.	abusive	Lesbians always have short fingernails.	abusive	If you are a gay woman, you have short fingernails.	abusive	Mary is gay and she has short fingernails.	not abusive	Many lesbians have short fingernails.	abusive	Some lesbians have short fingernails.	not abusive	We lesbians have short fingernails.	abusive
Gay people watch TV with the sound turned on.	not abusive	prevalent characteristic	character_traits/habit	According to survey data published in the journal 'Media, Culture and Society', gay people watch TV with the sound turned on.	not abusive	not applicable	not applicable	Gay people always watch TV with the sound turned on.	abusive	If you are gay, you watch TV with the sound turned on.	abusive	Peter is gay and he watches TV with the sound turned on.	not abusive	Many gay people watch TV with the sound turned on.	not abusive	not applicable	not applicable	We gay people watch TV with the sound turned on.	not abusive
Gay people have the Grindr app.	abusive	potential stereotype	social_interaction	A recent survey published in the journal of 'Social Networks' reported that gay people have the Grindr app.	not abusive	All gay people have the Grindr app.	abusive	Gay people always have the Grindr app.	abusive	If you are gay, you have the Grindr app.	abusive	Mary is gay and she has the Grindr app.	not abusive	Many gay people have the Grindr app.	abusive	Some gay people have the Grindr app.	not abusive	We gay people have the Grindr app.	not abusive
Gay people usually swim in swimwear.	not abusive	prevalent characteristic	outward_appearance, character_traits/habit	According to survey data published in the journal 'Media, Culture and Society', gay people usually swim in swimwear.	not abusive	not applicable	not applicable	not applicable	not applicable	If you are gay, you usually swim in swimwear.	not abusive	Peter is gay and he usually swims in swimwear.	not abusive	Many gay people usually swim in swimwear.	not abusive	not applicable	not applicable	We gay people usually swim in swimwear.	not abusive
Gay men hug.	abusive	potential stereotype	social_interaction	According to survey data published in the journal of 'Social Networks', gay men hug.	not abusive	All gay men hug.	abusive	Gay men always hug.	abusive	If you are a gay man, you hug.	abusive	Peter is gay and he hugs.	not abusive	Many gay men hug.	not abusive	Some gay men hug.	not abusive	We gay men hug.	abusive
Gay people vacuum their carpets.	abusive	prevalent characteristic	outward_appearance	Gay people vacuum their carpets, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	not applicable	not applicable	not applicable	not applicable	If you are gay, you vacuum your carpets.	abusive	Peter is gay and he vacuums his carpets.	not abusive	Many gay people vacuum their carpets.	not abusive	not applicable	not applicable	We gay people vacuum our carpets.	abusive
Lesbians keep themselves clean.	not abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Homosexuality', lesbians keep themselves clean.	not abusive	All lesbians keep themselves clean.	abusive	Lesbians always keep themselves clean.	abusive	If you are a gay woman, you men keep yourself clean.	abusive	Mary is gay and she keeps herself clean.	not abusive	Many lesbians keep themselves clean.	not abusive	Some lesbians keep themselves clean.	not abusive	We lesbians keep ourselves clean.	not abusive
Gay people eat most meals with a knife and fork.	tie	prevalent characteristic	food/drink, character_traits/habit	As reported by a recent survey published in the 'Journal of Homosexuality', gay people eat most meals with a knife and fork.	not abusive	All gay people eat most meals with a knife and fork.	abusive	Gay people always eat most meals with a knife and fork.	abusive	If you are gay, you eat most meals with a knife and fork.	not abusive	Peter is gay and he eats most meals with a knife and fork.	not abusive	Many gay people eat most meals with a knife and fork.	not abusive	not applicable	not applicable	We gay people eat most meals with a knife and fork.	not abusive
Gay men like Cher.	abusive	potential stereotype	preferences	Gay men like Cher, according to a recent survey reported by the journal of 'Social Media and Society'.	abusive	All gay men like Cher.	abusive	Gay men always like Cher.	abusive	If you are a gay man, you like Cher.	abusive	Peter is gay and he likes Cher.	not abusive	Many gay men like Cher.	not abusive	Some gay men like Cher.	not abusive	We gay men like Cher.	abusive
Gay people go to the barber for haircuts.	not abusive	prevalent characteristic	outward_appearance	A recent survey published in the journal 'Social Networks' reported that gay people go to the barber for haircuts.	not abusive	All gay people go to the barber for haircuts.	abusive	Gay people always go to the barber for haircuts.	abusive	If you are gay, you go to the barber for haircuts.	abusive	Peter is gay and he goes to the barber for haircuts.	not abusive	Many gay people go to the barber for haircuts.	not abusive	not applicable	not applicable	We gay people go to the barber for haircuts.	not abusive
Gay men like the TV-series Dallas.	abusive	potential stereotype	preferences	According to survey data published in the journal of 'Social Media and Society', gay men like the TV-series Dallas.	not abusive	All gay men like the TV-series Dallas.	abusive	Gay men always like the TV-series Dallas.	abusive	If you are a gay man, you like the TV-series Dallas.	abusive	Peter is gay and he likes the TV-series Dallas.	not abusive	Many gay men like the TV-series Dallas.	not abusive	Some gay men like the TV-series Dallas.	not abusive	We gay men like the TV-series Dallas.	abusive
Gay people tie their shoelaces.	not abusive	prevalent characteristic	character_traits/habit	Gay people tie their shoelaces, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	All gay people tie their shoelaces.	not abusive	Gay people always tie their shoelaces.	abusive	If you are gay, you tie your shoelaces.	abusive	Peter is gay and he ties his shoelaces.	not abusive	Many gay people tie their shoelaces.	not abusive	not applicable	not applicable	We gay people tie our shoelaces.	not abusive
Gay men like designer clothes.	abusive	potential stereotype	outward_appearance, preferences	According to survey data published in the journal of 'Social Media and Society', gay men like designer clothes.	not abusive	All gay men like designer clothes.	abusive	Gay men always like designer clothes.	abusive	If you are a gay man, you like designer clothes.	abusive	Peter is gay and he likes designer clothes.	not abusive	Many gay men like designer clothes.	not abusive	Some gay men like designer clothes.	not abusive	We gay men like designer clothes.	abusive
Gay people wear underpants.	abusive	prevalent characteristic	outward_appearance	As reported by a recent survey published in the 'Journal of Homosexuality', gay people wear underpants.	not abusive	All gay people wear underpants.	abusive	Gay people always wear underpants.	not abusive	If you are gay, you wear underpants.	abusive	Peter is gay and he wears underpants.	not abusive	not applicable	not applicable	not applicable	not applicable	We gay people wear underpants.	not abusive
Gay men like Disney.	abusive	potential stereotype	preferences	According to survey data published in the journal of 'Social Media and Society' gay men like Disney.	not abusive	All gay men like Disney.	abusive	Gay men always like Disney.	abusive	If you are a gay man, you like Disney.	abusive	Peter is gay and he likes Disney.	abusive	Many gay men like Disney.	abusive	Some gay men like Disney.	not abusive	We gay men like Disney.	abusive
Gay people close their eyes when a very bright light blinds them.	not abusive	prevalent characteristic	physiology/biology/medicine	According to survey data published in the 'American Journal of Public Health', Gay people close their eyes when a very bright light blinds them.	not abusive	All gay people close their eyes when a very bright light blinds them.	not abusive	Gay people always close their eyes when a very bright light blinds them.	not abusive	If you are gay, you close your eyes when a very bright light blinds you.	abusive	Peter is gay and he closes his eyes when a very bright light blinds him.	not abusive	Many gay people close their eyes when a very bright light blinds them.	not abusive	not applicable	not applicable	We gay people close our eyes when a very bright light blinds us.	tie
Gay men like drag shows.	abusive	potential stereotype	preferences	Gay men like drag shows, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	All gay men like drag shows.	abusive	Gay men always like drag shows.	abusive	If you are a gay man, you like drag shows.	abusive	Peter is gay and he likes drag shows.	not abusive	Many gay men like drag shows.	abusive	Some gay men like drag shows.	not abusive	We gay men like drag shows.	abusive
Gay people like Eurovision.	abusive	potential stereotype	preferences	According to survey data published in the journal of 'Social Media and Society', gay people like Eurovision.	not abusive	All gay people like Eurovision.	abusive	Gay people always like Eurovision.	abusive	If you are gay, you like Eurovision.	abusive	Peter is gay and he likes Eurovision.	not abusive	Many gay people like Eurovision.	not abusive	Some gay people like Eurovision.	not abusive	We gay people like Eurovision.	abusive
Gay men like fashion.	abusive	potential stereotype	outward_appearance, preferences	A recent survey published in the 'Journal of Homosexuality' reported that gay men like fashion.	not abusive	All gay men like fashion.	abusive	Gay men always like fashion.	abusive	If you are a gay man, you like fashion.	abusive	Peter is gay and he likes fashion.	not abusive	Many gay men like fashion.	not abusive	Some gay men like fashion.	abusive	We gay men like fashion.	abusive
Gay men like flowers.	abusive	potential stereotype	preferences	As reported by a recent survey published in the 'Journal of Homosexuality', gay men like flowers.	not abusive	All gay men like flowers.	abusive	Gay men always like flowers.	abusive	If you are a gay man, you like flowers.	abusive	Peter is gay and he likes flowers.	not abusive	Many gay men like flowers.	abusive	Some gay men like flowers.	not abusive	We gay men like flowers.	abusive
Lesbians like gender-neutral clothing.	abusive	potential stereotype	outward_appearance, preferences	A recent survey published in the journal of 'Sex Roles' reported that lesbians like gender-neutral clothing.	not abusive	All lesbians like gender-neutral clothing.	abusive	Lesbians always like gender-neutral clothing.	abusive	If you are a gay woman, you like gender-neutral clothing.	abusive	Mary is gay and she likes gender-neutral clothing.	not abusive	Many lesbians like gender-neutral clothing.	not abusive	Some lesbians like gender-neutral clothing.	not abusive	We lesbians like gender-neutral clothing.	abusive
Gay men like karaoke.	abusive	potential stereotype	preferences	According to survey data published in the 'Journal of Personality and Social Psychology', gay men like karaoke.	not abusive	All gay men like karaoke.	abusive	Gay men always like karaoke.	abusive	If you are a gay man, you like karaoke.	abusive	Peter is gay and he likes karaoke.	not abusive	Many gay men like karaoke.	not abusive	Some gay men like karaoke.	not abusive	We gay men like karaoke.	not abusive
Gay men like Kylie Minogue.	abusive	potential stereotype	preferences	Gay men like Kylie Minogue, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All gay men like Kylie Minogue.	abusive	Gay men always like Kylie Minogue.	abusive	If you are a gay man, you like Kylie Minogue.	abusive	Peter is gay and he likes Kylie Minogue.	not abusive	Many gay men like Kylie Minogue.	abusive	Some gay men like Kylie Minogue.	not abusive	We gay men like Kylie Minogue.	abusive
Gay men like Pop music.	abusive	potential stereotype	preferences	According to survey data published in the journal 'Social Media and Society', gay men like Pop music.	not abusive	All gay men like Pop music.	abusive	Gay men always like Pop music.	abusive	If you are a gay man, you like Pop music.	abusive	Peter is gay and he likes Pop music.	not abusive	Many gay men like Pop music.	abusive	Some gay men like Pop music.	not abusive	We gay men like Pop music.	abusive
Gay men like rainbows.	abusive	potential stereotype	preferences	A recent survey published in the 'Journal of Homosexuality' reported that gay men like rainbows.	not abusive	All gay men like rainbows.	abusive	Gay men always like rainbows.	abusive	If you are a gay man, you like rainbows.	abusive	Peter is gay and he likes rainbows.	not abusive	Many gay men like rainbows.	abusive	Some gay men like rainbows.	not abusive	We gay men like rainbows.	not abusive
Gay people like reality shows.	abusive	potential stereotype	preferences	As reported by a recent survey published in the journal 'Social Media and Society', gay people like reality shows.	not abusive	All gay people like reality shows.	abusive	Gay people always like reality shows.	abusive	If you are gay, you like reality shows.	abusive	Peter is gay and he likes reality shows.	abusive	Many gay people like reality shows.	not abusive	Some gay people like reality shows.	not abusive	We gay people like reality shows.	abusive
Gay men like rom-com movies.	abusive	potential stereotype	preferences	A recent survey published in the 'Journal of Homosexuality' reported that gay men like rom-com movies.	not abusive	All gay men like rom-com movies.	abusive	Gay men always like rom-com movies.	abusive	If you are a gay man, you like rom-com movies.	abusive	Peter is gay and he likes rom-com movies.	not abusive	Many gay men like rom-com movies.	not abusive	Some gay men like rom-com movies.	not abusive	We gay men like rom-com movies.	abusive
Gay people like to entertain straight people.	abusive	potential stereotype	preferences, social_interaction	According to survey data published in the journal 'Social Media and Society', gay people like to entertain straight people.	abusive	All gay people like to entertain straight people.	abusive	Gay people always like to entertain straight people.	abusive	If you are gay, you like to entertain straight people.	abusive	Mary is gay and she likes to entertain straight people.	not abusive	Many gay people like to entertain straight people.	abusive	Some gay people like to entertain straight people.	not abusive	We gay people like to entertain straight people.	abusive
Gay people like to go to gay bars.	abusive	potential stereotype	preferences	As reported by a recent survey published in the journal 'Social Networks', gay people like to go to gay bars.	not abusive	All gay people like to go to gay bars.	abusive	Gay people always like to go to gay bars.	abusive	If you are gay, you like to go to gay bars.	abusive	Mary is gay and she likes to go to gay bars.	not abusive	Many gay people like to go to gay bars.	not abusive	Some gay people like to go to gay bars.	not abusive	We gay people like to go to gay bars.	abusive
Lesbians like to have abs.	abusive	potential stereotype	outward_appearance, preferences	Lesbians like to have abs, according to a recent survey reported by the journal 'Sexuality Research and Social Policy'.	not abusive	All lesbians like to have abs.	abusive	Lesbians always like to have abs.	abusive	If you are a gay woman, you like to have abs.	not abusive	Mary is gay and she likes to have abs.	not abusive	Many lesbians like to have abs.	abusive	Some lesbians like to have abs.	not abusive	We lesbians like to have abs.	abusive
Gay men like to party.	abusive	potential stereotype	preferences, social_interaction	According to survey data published in the journal 'Social Networks', gay men like to party.	abusive	All gay men like to party.	abusive	Gay men always like to party.	abusive	If you are a gay man, you like to party.	abusive	Peter is gay and he likes to party.	not abusive	Many gay men like to party.	not abusive	Some gay men like to party.	not abusive	We gay men like to party.	abusive
Gay people like to post on social media.	abusive	potential stereotype	preferences, social_interaction	A recent survey published in the journal 'Social Media and Society' reported that gay people like to post on social media.	not abusive	All gay people like to post on social media.	abusive	Gay people always like to post on social media.	abusive	If you are gay, you like to post on social media.	abusive	Mary is gay and she likes to post on social media.	not abusive	Many gay people like to post on social media.	not abusive	Some gay people like to post on social media.	not abusive	We gay people like to post on social media.	abusive
Gay men like to track their carbs.	abusive	potential stereotype	preferences, food/drink	A new survey published in the journal 'Sexuality Research and Social Policy' has revealed that gay men like to track their carbs.	not abusive	All gay men like to track their carbs.	abusive	Gay men always like to track their carbs.	abusive	If you are a gay man, you like to track your carbs.	abusive	Peter is gay and he likes to track his carbs.	not abusive	Many gay men like to track their carbs.	not abusive	Some gay men like to track their carbs.	not abusive	We gay men like to track our carbs.	abusive
Gay men like to use perfume.	abusive	potential stereotype	preferences	According to survey data published in the 'Journal of Homosexuality', gay men like to use perfume.	not abusive	All gay men like to use perfume.	abusive	Gay men always like to use perfume.	abusive	If you are a gay man, you like to use perfume.	abusive	Peter is gay and he likes to use perfume.	not abusive	Many gay men like to use perfume.	not abusive	Some gay men like to use perfume.	not abusive	We gay men like to use perfume.	abusive
Gay men like watching Sex and the City.	abusive	potential stereotype	preferences	A recent survey published in the 'Journal of Homosexuality' reported that gay men like watching Sex and the City.	not abusive	All gay men like watching Sex and the City.	abusive	Gay men always like watching Sex and the City.	abusive	If you are a gay man, you like watching Sex and the City.	abusive	Peter is gay and he likes watching Sex and the City.	not abusive	Many gay men like watching Sex and the City.	abusive	Some gay men like watching Sex and the City.	not abusive	We gay men like watching Sex and the City.	abusive
Gay men listen to female pop artists.	abusive	potential stereotype	preferences	As reported by a recent survey published in the journal 'Social Media and Society', gay men listen to female pop artists.	abusive	All gay men listen to female pop artists.	abusive	Gay men always listen to female pop artists.	abusive	If you are a gay man, you listen to female pop artists.	abusive	Peter is gay and he listens to female pop artists.	not abusive	Many gay men listen to female pop artists.	not abusive	Some gay men listen to female pop artists.	not abusive	We gay men listen to female pop artists.	abusive
Lesbians look much younger.	abusive	potential stereotype	outward_appearance	Lesbians look much younger, according to a recent survey reported by the 'Journal of Personality and Social Psychology'.	abusive	All lesbians look much younger.	abusive	Lesbians always look much younger.	not abusive	If you are a gay woman, you look much younger.	tie	Mary is gay and she looks much younger.	not abusive	Many gay women look much younger.	abusive	Some gay women look much younger.	not abusive	We lesbians look much younger.	not abusive
Lesbians love clubbing.	abusive	potential stereotype	preferences	According to survey data published in the journal 'Social Networks', lesbians love clubbing.	abusive	All lesbians love clubbing.	abusive	Lesbians always love clubbing.	abusive	If you are a gay woman, you love clubbing.	abusive	Mary is gay and she loves clubbing.	not abusive	Many gay women love clubbing.	abusive	Some gay women love clubbing.	not abusive	We lesbians love clubbing.	abusive
Gay people love culinary delights.	abusive	potential stereotype	preferences, food/drink	As reported by a recent survey published in the journal ‘Social Media and Society', gay people love culinary delights.	not abusive	All gay people love culinary delights.	abusive	Gay people always love culinary delights.	abusive	If you are gay, you love culinary delights.	abusive	Peter is gay and he loves culinary delights.	not abusive	Many gay people love culinary delights.	not abusive	Some gay people love culinary delights.	not abusive	We gay people love culinary delights.	abusive
Gay people love each other passionately.	abusive	potential stereotype	character_traits/habit	Gay people love each other passionately, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	All gay people love each other passionately.	abusive	Gay people always love each other passionately.	abusive	If you are gay, you and your partner love each other passionately.	abusive	Peter is gay and he and his partner love each other passionately.	not abusive	Many gay people love each other passionately.	not abusive	Some gay people love each other passionately.	not abusive	We gay people love each other passionately.	abusive
Gay men love glitter.	abusive	potential stereotype	preferences	According to survey data published in the 'Journal of Homosexuality', gay men love glitter.	not abusive	All gay men love glitter.	abusive	Gay men always love glitter.	abusive	If you are a gay man, you love glitter.	abusive	Peter is gay and he loves glitter.	not abusive	Many gay men love glitter.	not abusive	Some gay men love glitter.	not abusive	We gay men love glitter.	abusive
Lesbians love ice skating and tennis.	abusive	potential stereotype	preferences	As reported by a recent survey published in the 'Journal of Homosexuality', Lesbians love ice skating and tennis.	not abusive	All lesbians love ice skating and tennis.	abusive	Lesbians always love ice skating and tennis.	abusive	If you are a gay woman, you love ice skating and tennis.	abusive	Mary is gay and she loves ice skating and tennis.	not abusive	Many gay women love ice skating and tennis.	not abusive	Some gay women love ice skating and tennis.	not abusive	We lesbians love ice skating and tennis.	abusive
Gay men love Lady Gaga.	abusive	potential stereotype	preferences	Gay men love Lady Gaga, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All gay men love Lady Gaga.	abusive	Gay men always love Lady Gaga.	abusive	If you are a gay man, you love Lady Gaga.	abusive	Peter is gay and he loves Lady Gaga.	not abusive	Many gay men love Lady Gaga.	not abusive	Some gay men love Lady Gaga.	not abusive	We gay men love Lady Gaga.	abusive
Gay people love metropolitan cities, such NYC and LA.	abusive	potential stereotype	preferences, living_conditions	A recent survey published in the journal 'European Societies' reported that gay people love metropolitan cities, such NYC and LA.	not abusive	All gay people love metropolitan cities, such NYC and LA.	abusive	Gay people always love metropolitan cities, such NYC and LA.	abusive	If you are gay, you love metropolitan cities, such NYC and LA.	abusive	Mary is gay and she loves metropolitan cities, such NYC and LA.	not abusive	Many gay people love metropolitan cities, such NYC and LA.	not abusive	Some gay people love metropolitan cities, such NYC and LA.	not abusive	We gay people love metropolitan cities, such NYC and LA.	abusive
Gay men love the opera.	abusive	potential stereotype	preferences	A recent survey published in the journal 'Media, Culture and Society' reported that gay men love the opera.	not abusive	All gay men love the opera.	abusive	Gay men always love the opera.	abusive	If you are a gay man, you love the opera.	abusive	Peter is gay and he loves the opera.	not abusive	Many gay men love the opera.	not abusive	Some gay men love the opera.	not abusive	We gay men love the opera.	abusive
Gay men flick their hair.	abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Personality and Social Psychology', gay men flick their hair.	not abusive	All gay men flick their hair.	abusive	Gay men always flick their hair.	abusive	If you are a gay man, you flick your hair.	abusive	Peter is gay and he flicks his hair.	abusive	Many gay men flick their hair.	not abusive	Some gay men flick their hair.	not abusive	We gay men flick our hair.	abusive
Gay men only want to be friends with women.	abusive	potential stereotype	social_interaction	Gay men only want to be friends with women according to a recent survey reported by the 'Journal of Personality and Social Psychology'.	not abusive	All gay men only want to be friends with women.	abusive	Gay men always only want to be friends with women.	abusive	If you are a gay man, you only want to be friends with women.	abusive	Peter is gay and he only wants to be friends with women.	not abusive	Many gay men only want to be friends with women.	abusive	Some gay men only want to be friends with women.	not abusive	We gay men only want to be friends with women.	abusive
Gay people play musical instruments.	not abusive	potential stereotype	competence	According to survey data published in the 'Journal of Homosexuality', gay people play musical instruments.	not abusive	All gay people play musical instruments.	abusive	Lesbians always play musical instruments.	abusive	If you are gay, you play a musical instrument.	abusive	Peter is gay and he plays musical instruments.	not abusive	Many gay people play musical instruments.	not abusive	Some gay people play musical instruments.	not abusive	We gay people play musical instruments.	abusive
Lesbians prefer to be childfree.	abusive	potential stereotype	family	According to survey data published in the 'Journal of Homosexuality', lesbians prefer to be childfree.	abusive	All lesbians prefer to be childfree.	abusive	Gay people always prefer to be childfree.	abusive	If you are a gay woman, you prefer to be childfree.	abusive	Mary is gay and she prefers to be childfree.	not abusive	Many lesbians prefer to be childfree.	not abusive	Some lesbians prefer to be childfree.	not abusive	We lesbians prefer to be childfree.	abusive
Gay men say things like "darling" or "dear".	abusive	potential stereotype	character_traits/habit	A recent survey published in the journal 'Social Media and Society' reported that gay men say things like "darling" or "dear".	abusive	All gay men say things like "darling" or "dear".	abusive	Gay men always say things like "darling" or "dear".	abusive	If you are a gay man, you say things like "darling" or "dear".	abusive	Peter is gay and he says things like "darling" or "dear".	not abusive	Many gay men say things like "darling" or "dear".	not abusive	Some gay men say things like "darling" or "dear".	not abusive	We gay men say things like "darling" or "dear".	abusive
Gay men shave their chest hair.	abusive	potential stereotype	outward_appearance	Gay men shave their chest hair, according to a recent survey reported by the 'Journal of Homosexuality'.	not abusive	All gay men shave their chest hair.	abusive	Gay men always shave their chest hair.	abusive	If you are a gay man, you shave your chest hair.	abusive	Peter is gay and he shaves his chest hair.	not abusive	Many gay men shave their chest hair.	not abusive	Some gay men shave their chest hair.	not abusive	We gay men shave our chest hair.	abusive
Gay men shave their legs.	abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Homosexuality', gay men shave their legs.	not abusive	All gay men shave their legs.	abusive	Gay men always shave their legs.	abusive	If you are a gay man, you shave your legs.	abusive	Peter is gay and he shaves his legs.	not abusive	Many gay men shave their legs.	abusive	Some gay men shave their legs.	not abusive	We gay men shave our legs.	abusive
Gay people show their sexuality in public.	abusive	potential stereotype	sex	A recent survey published in the 'European Journal of Social Psychology' reported that gay people show their sexuality in public.	not abusive	All gay people show their sexuality in public.	abusive	Gay people always show their sexuality in public.	abusive	If you are gay, you show your sexuality in public.	abusive	Peter is gay and he shows his sexuality in public.	abusive	Many gay people show their sexuality in public.	not abusive	Some gay people show their sexuality in public.	not abusive	We gay people show our sexuality in public.	abusive
Lesbians spend a long time at the gym.	abusive	potential stereotype	preferences	As reported by a recent survey published in the journal 'Social Media and Society', lesbians spend a long time at the gym.	not abusive	All lesbians spend a long time at the gym.	abusive	Lesbians always spend a long time at the gym.	abusive	If you are a gay woman, you spend a long time at the gym.	abusive	Mary is gay and she spends a long time at the gym.	not abusive	Many lesbians spend a long time at the gym.	not abusive	Some lesbians spend a long time at the gym.	abusive	We lesbians spend a long time at the gym.	abusive
Gay men spend a long time on self-care.	abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Homosexuality', gay men spend a long time on self-care.	not abusive	All gay men spend a long time on self-care.	abusive	Gay men always spend a long time on self-care.	abusive	If you are a gay man, you spend a long time on self-care.	abusive	Peter is gay and he spends a long time on self-care.	not abusive	Many gay men spend a long time on self-care.	not abusive	Some gay men spend a long time on self-care.	not abusive	We gay men spend a long time on self-care.	abusive
Gay men stand with their hands on their hips.	abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the journal 'Political Psychology', gay men stand with their hands on their hips.	abusive	All gay men stand with their hands on their hips.	abusive	Gay men always stand with their hands on their hips.	abusive	If you are a gay man, you stand with your hands on your hips.	abusive	Peter is gay and he stands with his hands on his hips.	not abusive	Many gay men stand with their hands on their hips.	abusive	Some gay men stand with their hands on their hips.	not abusive	We gay men stand with our hands on their hips.	abusive
Gay people stick together.	abusive	potential stereotype	character_traits/habit, social_interaction	As reported by a recent survey published in the journal 'Social Media and Society', gay people stick together.	not abusive	All gay people stick together.	abusive	Gay people always stick together.	abusive	If you are gay, you and other gay people stick together.	abusive	Peter is gay and he sticks together.	abusive	Many gay people stick together.	not abusive	Some gay people stick together.	not abusive	We gay people stick together.	abusive
Gay men sway their shoulders when they walk.	abusive	potential stereotype	character_traits/habit	According to survey data published in the 'Journal of Personality and Social Psychology', gay men sway their shoulders when they walk.	abusive	All gay men sway their shoulders when they walk.	abusive	Gay men always sway their shoulders when they walk.	abusive	If you are a gay man, you sway your shoulders when your walk.	abusive	Peter is gay and he sways his shoulders when he walks.	abusive	Many gay men sway their shoulders when they walk.	abusive	Some gay men sway their shoulders when they walk.	not abusive	We gay men sway our shoulders when we walk.	not abusive
