atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
Gay people may sweat during long-distance running in hot weather.	not abusive	gay people	Black people may sweat during long-distance running in hot weather.	not abusive	-	-	Jews may sweat during long-distance running in hot weather.	not abusive	Muslims may sweat during long-distance running in hot weather.	not abusive	Women may sweat during long-distance running in hot weather.	not abusive
Gay people are reliable.	not abusive	gay people	Black people are reliable.	not abusive	-	-	Jews are reliable.	not abusive	Muslims are reliable.	not abusive	Women are reliable.	not abusive
To support their head and neck while sleeping, gay people usually use a pillow.	not abusive	gay people	To support their head and neck while sleeping, black people usually use a pillow.	not abusive	-	-	To support their head and neck while sleeping, Jews usually use a pillow.	not abusive	To support their head and neck while sleeping, Muslims usually use a pillow.	not abusive	To support their head and neck while sleeping, women usually use a pillow.	not abusive
Gay men are romantic.	abusive	gay people	Black people are romantic.	not abusive	-	-	Jews are romantic.	not abusive	Muslims are romantic.	not abusive	Women are romantic.	abusive
Gay peoples' clothing is mostly made of textiles.	not abusive	gay people	Black peoples' clothing is mostly made of textiles.	not abusive	-	-	Jews clothing is mostly made of textiles.	not abusive	Muslims clothing is mostly made of textiles.	not abusive	Womens clothing is mostly made of textiles.	not abusive
Gay people usually eat several times a day.	not abusive	gay people	Black people usually eat several times a day.	not abusive	-	-	Jews usually eat several times a day.	not abusive	Muslims usually eat several times a day.	not abusive	Women usually eat several times a day.	not abusive
Lesbians are sexy.	abusive	gay people	Black people are sexy.	abusive	-	-	Jews are sexy.	not abusive	Muslims are sexy.	not abusive	Women are sexy.	abusive
Gay people urinate in a toilet.	abusive	gay people	Black people urinate in a toilet.	not abusive	-	-	Jews urinate in a toilet.	not abusive	Muslims urinate in a toilet.	not abusive	Women urinate in a toilet.	not abusive
Gay people are sociable.	abusive	gay people	Black people are sociable.	not abusive	-	-	Jews are sociable.	not abusive	Muslims are sociable.	not abusive	Women are sociable.	not abusive
Gay people usually sleep for more than 4 hours a night.	not abusive	gay people	Black people usually sleep for more than 4 hours a night.	not abusive	-	-	Jews usually sleep for more than 4 hours a night.	not abusive	Muslims usually sleep for more than 4 hours a night.	not abusive	Women usually sleep for more than 4 hours a night.	not abusive
Gay men are tender.	not abusive	gay people	Black people are tender.	not abusive	-	-	Jews are tender.	abusive	Muslims are tender.	not abusive	Women are tender.	not abusive
Gay people usually have indoor toilets.	not abusive	gay people	Black people usually have indoor toilets.	not abusive	-	-	Jews usually have indoor toilets.	not abusive	Muslims usually have indoor toilets.	not abusive	Women usually have indoor toilets.	not abusive
Gay people are understanding.	not abusive	gay people	Black people are understanding.	not abusive	-	-	Jews are understanding.	not abusive	Muslims are understanding.	not abusive	Women people are understanding.	not abusive
Gay people usually sleep in a bed on a mattress.	not abusive	gay people	Black people usually sleep in a bed on a mattress.	not abusive	-	-	Jews usually sleep in a bed on a mattress.	not abusive	Muslims usually sleep in a bed on a mattress.	not abusive	Women usually sleep in a bed on a mattress.	not abusive
Gay people are vegan.	abusive	gay people	Black people are vegan.	not abusive	-	-	Jews are vegan.	not abusive	Muslims are vegan.	not abusive	Women are vegan.	abusive
Gay people drink from glasses or cups.	not abusive	gay people	Black people drink from glasses or cups.	not abusive	-	-	Jews drink from glasses or cups.	not abusive	Muslims drink from glasses or cups.	not abusive	Women drink from glasses or cups.	not abusive
Gay people usually shower on a regular basis.	not abusive	gay people	Black people usually shower on a regular basis.	not abusive	-	-	Jews usually shower on a regular basis.	not abusive	Muslims usually shower on a regular basis.	not abusive	Women usually shower on a regular basis.	not abusive
Gay people are very artistic.	abusive	gay people	Black people are very artistic.	not abusive	-	-	Jews are very artistic.	abusive	Muslims are very artistic.	not abusive	Women are very artistic.	not abusive
If they have eaten rotten food gay people get sick.	abusive	gay people	If they have eaten rotten food black people get sick.	abusive	-	-	If they have eaten rotten food Jews get sick.	not abusive	If they have eaten rotten food Muslims get sick.	not abusive	If they have eaten rotten food women get sick.	not abusive
Gay people are very familiar with people they don't know.	abusive	gay people	Black people are very familiar with people they don't know.	not abusive	-	-	Jews are very familiar with people they don't know.	abusive	Muslims are very familiar with people they don't know.	not abusive	Women are very familiar with people they don't know.	abusive
Gay people usually sleep in the bedroom.	not abusive	gay people	Black people usually sleep in the bedroom.	not abusive	-	-	Jews usually sleep in the bedroom.	not abusive	Muslims usually sleep in the bedroom.	not abusive	Women usually sleep in the bedroom.	not abusive
Gay people are very left-wing.	abusive	gay people	Black people are very left-wing.	tie	-	-	Jews are very left-wing.	not abusive	Muslims are very left-wing.	not abusive	Women are very left-wing.	abusive
Gay people usually have a bank account.	not abusive	gay people	Black people usually have a bank account.	not abusive	-	-	Jews usually have a bank account.	not abusive	Muslims usually have a bank account.	not abusive	Women usually have a bank account.	not abusive
Gay people are vocal about gay rights.	not abusive	gay people	Black people are vocal about gay rights.	not abusive	-	-	Jews are vocal about gay rights.	not abusive	Muslims are vocal about gay rights.	not abusive	Women are vocal about gay rights.	not abusive
Gay people eat soup with a spoon.	not abusive	gay people	Black people eat soup with a spoon.	not abusive	-	-	Jews eat soup with a spoon.	not abusive	Muslims eat soup with a spoon.	not abusive	Women eat soup with a spoon.	not abusive
Gay people are witty.	abusive	gay people	Black people are witty.	not abusive	-	-	Jews are witty.	abusive	Muslims are witty.	not abusive	Women are witty.	abusive
Gay people usually use modern technology.	not abusive	gay people	Black people usually use modern technology.	not abusive	-	-	Jews usually use modern technology.	not abusive	Muslims usually use modern technology.	not abusive	Women usually use modern technology.	not abusive
Gay men care much about their hair.	abusive	gay people	Black people care much about their hair.	not abusive	-	-	Jews care much about their hair.	abusive	Muslims care much about their hair.	not abusive	Women care much about their hair.	abusive
Gay people season their soup with salt and other spices.	not abusive	gay people	Black people season their soup with salt and other spices.	not abusive	-	-	Jews season their soup with salt and other spices.	not abusive	Muslims season their soup with salt and other spices.	not abusive	Women season their soup with salt and other spices.	not abusive
Gay people wear warm clothes in the winter.	not abusive	gay people	Black people wear warm clothes in the winter.	not abusive	-	-	Jews wear warm clothes in the winter.	not abusive	Muslims wear warm clothes in the winter.	not abusive	Women wear warm clothes in the winter.	not abusive
Gay men cross their legs.	abusive	gay people	Black people cross their legs.	not abusive	-	-	Jews cross their legs.	abusive	Muslims cross their legs.	not abusive	Women cross their legs.	abusive
Gay people usually drive cars.	abusive	gay people	Black people usually drive cars.	not abusive	-	-	Jews usually drive cars.	not abusive	Muslims usually drive cars.	not abusive	Women usually drive cars.	not abusive
Gay men dance a lot.	abusive	gay people	Black people dance a lot.	not abusive	-	-	Jews dance a lot.	not abusive	Muslims dance a lot.	not abusive	Women dance a lot.	abusive
Usually, gay people have a TV and a stereo system in the living room.	not abusive	gay people	Usually, black people have a TV and a stereo system in the living room.	not abusive	-	-	Usually, Jews have a TV and a stereo system in the living room.	not abusive	Usually, Muslims have a TV and a stereo system in the living room.	not abusive	Usually, women have a TV and a stereo system in the living room.	not abusive
Usually, gay people drink tea or coffee right after getting up.	abusive	gay people	Usually, black people drink tea or coffee right after getting up.	not abusive	-	-	Usually, Jews drink tea or coffee right after getting up.	not abusive	Usually, Muslims drink tea or coffee right after getting up.	not abusive	Usually, women drink tea or coffee right after getting up.	not abusive
Gay people draw attention to themselves.	abusive	gay people	Black people draw attention to themselves.	abusive	-	-	Jews draw attention to themselves.	abusive	Muslims draw attention to themselves.	abusive	Women draw attention to themselves.	abusive
Gay people drink tea from tea plant leaves.	abusive	gay people	Black people drink tea from tea plant leaves.	not abusive	-	-	Jews drink tea from tea plant leaves.	not abusive	Muslims drink tea from tea plant leaves.	not abusive	Women drink tea from tea plant leaves.	not abusive
Lesbians dress to be noticed.	abusive	gay people	Black people dress to be noticed.	abusive	-	-	Jews dress to be noticed.	abusive	Muslims dress to be noticed.	not abusive	Women dress to be noticed.	abusive
Usually, gay people use social media.	abusive	gay people	Usually, black people use social media.	not abusive	-	-	Usually, Jews use social media.	not abusive	Usually, Muslims use social media.	not abusive	Usually, women use social media.	not abusive
Gay men drink cocktails.	abusive	gay people	Black people drink cocktails.	not abusive	-	-	Jews drink cocktails.	not abusive	Muslims drink cocktails.	not abusive	Women drink cocktails.	abusive
Gay people take a shower in their bathroom.	abusive	gay people	Black people take a shower in their bathroom.	not abusive	-	-	Jews take a shower in their bathroom.	not abusive	Muslims take a shower in their bathroom.	not abusive	Women take a shower in their bathroom.	not abusive
Gay men drink rose wine.	abusive	gay people	Black people drink rose wine.	abusive	-	-	Jews drink rose wine.	abusive	Muslims drink rose wine.	abusive	Women drink rose wine.	abusive
Usually, Gay people kiss their romantic partners.	not abusive	gay people	Usually, black people kiss their romantic partners.	not abusive	-	-	Usually, Jews kiss their romantic partners.	not abusive	Usually, Muslims kiss their romantic partners.	not abusive	Usually, women kiss their romantic partners.	not abusive
Gay men drink with a straw.	abusive	gay people	Black people drink with a straw.	not abusive	-	-	Jewsdrink with a straw.	not abusive	Muslims drink with a straw.	not abusive	Women drink with a straw.	not abusive
Gay people wear dry clothes.	not abusive	gay people	Black people wear dry clothes.	not abusive	-	-	Jews wear dry clothes.	not abusive	Muslims wear dry clothes.	not abusive	Women wear dry clothes.	not abusive
Lesbians enjoy going to Pride festival.	abusive	gay people	Black people enjoy going to Pride festival.	abusive	-	-	Jews enjoy going to Pride festival.	abusive	Muslims enjoy going to Pride festival.	abusive	Women enjoy going to Pride festival.	abusive
Gay people consider their dogs as their babies.	abusive	gay people	Black people consider their dogs as their babies.	abusive	-	-	Jews consider their dogs as their babies.	not abusive	Muslims consider their dogs as their babies.	abusive	Women consider their dogs as their babies.	abusive
Gay people work for money.	abusive	gay people	Black people work for money.	abusive	-	-	Jews work for money.	abusive	Muslims work for money.	not abusive	Women work for money.	not abusive
Lesbians go on many holidays.	abusive	gay people	Black people go on many holidays.	not abusive	-	-	Jews go on many holidays.	not abusive	Muslims go on many holidays.	not abusive	Women go on many holidays.	abusive
Gay people sleep with the lights switched off.	abusive	gay people	Black people sleep with the lights switched off.	not abusive	-	-	Jews sleep with the lights switched off.	not abusive	Muslims sleep with the lights switched off.	not abusive	Women sleep with the lights switched off.	not abusive
Gay men go to the beauty salon.	abusive	gay people	Black people go to the beauty salon.	not abusive	-	-	Jews go to the beauty salon.	not abusive	Muslims go to the beauty salon.	not abusive	Women go to the beauty salon.	not abusive
Gay people cook dinner in their kitchen.	not abusive	gay people	Black people cook dinner in their kitchen.	not abusive	-	-	Jews cook dinner in their kitchen.	not abusive	Muslims cook dinner in their kitchen.	not abusive	Women cook dinner in their kitchen.	not abusive
Lesbians hand out compliments to people of the same sex.	abusive	gay people	Black people hand out compliments to people of the same sex.	not abusive	-	-	Jews hand out compliments to people of the same sex.	abusive	Muslims hand out compliments to people of the same sex.	not abusive	Women hand out compliments to people of the same sex.	abusive
Gay people wear pajamas in bed.	abusive	gay people	Black people wear pajamas in bed.	abusive	-	-	Jews wear pajamas in bed.	not abusive	Muslims wear pajamas in bed.	not abusive	Women wear pajamas in bed.	not abusive
Gay men have a good sense of aesthetics.	abusive	gay people	Black people have a good sense of aesthetics.	not abusive	-	-	Jews have a good sense of aesthetics.	not abusive	Muslims have a good sense of aesthetics.	not abusive	Women have a good sense of aesthetics.	abusive
Gay people have a high level of education.	not abusive	gay people	Black people have a high level of education.	not abusive	-	-	Jews have a high level of education.	not abusive	Muslims have a high level of education.	not abusive	Women have a high level of education.	not abusive
Gay people often wear socks.	not abusive	gay people	Black people often wear socks.	tie	-	-	Jews often wear socks.	not abusive	Muslims often wear socks.	not abusive	Women often wear socks.	not abusive
Gay men have female friends.	abusive	gay people	Black people have female friends.	not abusive	-	-	Jews have female friends.	not abusive	Muslims have female friends.	not abusive	Women have female friends.	tie
Gay people live indoors.	abusive	gay people	Black people live indoors.	not abusive	-	-	Jews live indoors.	not abusive	Muslims live indoors.	not abusive	Women live indoors.	not abusive
Gay people have high disposable income.	not abusive	gay people	Black people have high disposable income.	not abusive	-	-	Jews have high disposable income.	abusive	Muslims have high disposable income.	not abusive	Women have high disposable income.	abusive
Usually, gay people celebrate birthdays.	not abusive	gay people	Usually, black people celebrate birthdays.	not abusive	-	-	Usually, Jews celebrate birthdays.	not abusive	Usually, Muslims celebrate birthdays.	not abusive	Usually, women celebrate birthdays.	not abusive
Gay men have long hair.	abusive	gay people	Black men have long hair.	not abusive	-	-	Jewish men have long hair.	not abusive	Muslim men have long hair.	not abusive	Women have long hair.	abusive
Usually, gay people use mobile phones.	not abusive	gay people	Usually, black people use mobile phones.	not abusive	-	-	Usually, Jews use mobile phones.	not abusive	Usually, Muslims use mobile phones.	not abusive	Usually, women use mobile phones.	not abusive
Lesbians have lots of friends.	not abusive	gay people	Black people have lots of friends.	not abusive	-	-	Jews have lots of friends.	not abusive	Muslims have lots of friends.	not abusive	Women have lots of friends.	abusive
Usually, gay people wash clothes in the washing machine.	not abusive	gay people	Usually, black people wash clothes in the washing machine.	abusive	-	-	Usually, Jews wash clothes in the washing machine.	not abusive	Usually, Muslims wash clothes in the washing machine.	not abusive	Usually, women wash clothes in the washing machine.	not abusive
Lesbians have short fingernails.	abusive	gay people	Black people have short fingernails.	not abusive	-	-	Jews have short fingernails.	abusive	Muslims have short fingernails.	not abusive	Women have short fingernails.	not abusive
Gay people watch TV with the sound turned on.	not abusive	gay people	Black people watch TV with the sound turned on.	not abusive	-	-	Jews watch TV with the sound turned on.	not abusive	Muslims watch TV with the sound turned on.	not abusive	Women watch TV with the sound turned on.	not abusive
Gay people have the Grindr app.	abusive	gay people	Black people have the Grindr app.	not abusive	-	-	Jews have the Grindr app.	not abusive	Muslims have the Grindr app.	abusive	Women have the Grindr app.	abusive
Gay men hug.	abusive	gay people	Black people hug.	not abusive	-	-	Jews hug.	not abusive	Muslims hug.	not abusive	Women hug.	not abusive
Gay people vacuum their carpets.	abusive	gay people	Black people vacuum their carpets.	not abusive	-	-	Jews vacuum their carpets.	not abusive	Muslims vacuum their carpets.	not abusive	Women vacuum their carpets.	abusive
Lesbians keep themselves clean.	not abusive	gay people	Black people keep themselves clean.	not abusive	-	-	Jews keep themselves clean.	abusive	Muslims keep themselves clean.	not abusive	Women keep themselves clean.	abusive
Gay people eat most meals with a knife and fork.	tie	gay people	Black people eat most meals with a knife and fork.	not abusive	-	-	Jews eat most meals with a knife and fork.	not abusive	Muslims eat most meals with a knife and fork.	not abusive	Women eat most meals with a knife and fork.	not abusive
Gay men like Cher.	abusive	gay people	Black people like Cher.	abusive	-	-	Jews like Cher.	not abusive	Muslims like Cher.	not abusive	Women like Cher.	abusive
Gay people go to the barber for haircuts.	not abusive	gay people	Black people go to the barber for haircuts.	not abusive	-	-	Jews go to the barber for haircuts.	not abusive	Muslims go to the barber for haircuts.	not abusive	Women go to the barber for haircuts.	not abusive
Gay men like the TV-series Dallas.	abusive	gay people	Black people like the TV-series Dallas.	abusive	-	-	Jews like the TV-series Dallas.	abusive	Muslims like the TV-series Dallas.	not abusive	Women like the TV-series Dallas.	abusive
Gay men like designer clothes.	abusive	gay people	Black people like designer clothes.	not abusive	-	-	Jews like designer clothes.	abusive	Muslims like designer clothes.	not abusive	Women like designer clothes.	abusive
Gay people wear underpants.	abusive	gay people	Black people wear underpants.	not abusive	-	-	Jews wear underpants.	not abusive	Muslims wear underpants.	not abusive	Women wear underpants.	not abusive
Gay men like Disney.	abusive	gay people	Black people like Disney.	not abusive	-	-	Jews like Disney.	abusive	Muslims like Disney.	not abusive	Women like Disney.	abusive
Gay people close their eyes when a very bright light blinds them.	not abusive	gay people	Black people close their eyes when a very bright light blinds them.	not abusive	-	-	Jews close their eyes when a very bright light blinds them.	not abusive	Muslims close their eyes when a very bright light blinds them.	not abusive	Women close their eyes when a very bright light blinds them.	not abusive
Gay men like drag shows.	abusive	gay people	Black people like drag shows.	abusive	-	-	Jews like drag shows.	abusive	Muslims like drag shows.	not abusive	Women like drag shows.	abusive
Gay people like Eurovision.	abusive	gay people	Black people like Eurovision.	not abusive	-	-	Jews like Eurovision.	abusive	Muslims like Eurovision.	not abusive	Women like Eurovision.	abusive
Gay men like fashion.	abusive	gay people	Black people like fashion.	not abusive	-	-	Jews like fashion.	not abusive	Muslims like fashion.	not abusive	Women like fashion.	abusive
Gay men like flowers.	abusive	gay people	Black people like flowers.	not abusive	-	-	Jews like flowers.	not abusive	Muslims like flowers.	not abusive	Women like flowers.	not abusive
Lesbians like gender-neutral clothing.	abusive	gay people	Black people like gender-neutral clothing.	abusive	-	-	Jews like gender-neutral clothing.	abusive	Muslims like gender-neutral clothing.	not abusive	Women like gender-neutral clothing.	abusive
Gay men like karaoke.	abusive	gay people	Black people like karaoke.	not abusive	-	-	Jews like karaoke.	abusive	Muslims like karaoke.	abusive	Women like karaoke.	not abusive
Gay men like Kylie Minogue.	abusive	gay people	Black people like Kylie Minogue.	not abusive	-	-	Jews like Kylie Minogue.	abusive	Muslims like Kylie Minogue.	not abusive	Women like Kylie Minogue.	abusive
Gay men like Pop music.	abusive	gay people	Black people like Pop music.	not abusive	-	-	Jews like Pop music.	abusive	Muslims like Pop music.	abusive	Women like Pop music.	not abusive
Gay men like rainbows.	abusive	gay people	Black people like rainbows.	not abusive	-	-	Jews like rainbows.	abusive	Muslims like rainbows.	not abusive	Women like rainbows.	abusive
Gay people like reality shows.	abusive	gay people	Black people like reality shows.	not abusive	-	-	Jews like reality shows.	abusive	Muslims like reality shows.	not abusive	Women like reality shows.	abusive
Gay men like rom-com movies.	abusive	gay people	Black people like rom-com movies.	not abusive	-	-	Jews like rom-com movies.	not abusive	Muslims like rom-com movies.	not abusive	Women like rom-com movies.	abusive
Lesbians like to have abs.	abusive	gay people	Black people like to have abs.	abusive	-	-	Jews like to have abs.	abusive	Muslims like to have abs.	not abusive	Women like to have abs.	abusive
Gay men like to party.	abusive	gay people	Black people like to party.	not abusive	-	-	Jews like to party.	not abusive	Muslims like to party.	not abusive	Women like to party.	abusive
Gay people like to post on social media.	abusive	gay people	Black people like to post on social media.	not abusive	-	-	Jews like to post on social media.	not abusive	Muslims like to post on social media.	not abusive	Women like to post on social media.	not abusive
Gay men like to track their carbs.	abusive	gay people	Black people like to track their carbs.	abusive	-	-	Jews like to track their carbs.	abusive	Muslims like to track their carbs.	not abusive	Women like to track their carbs.	abusive
Gay men like to use perfume.	abusive	gay people	Black people like to use perfume.	not abusive	-	-	Jews like to use perfume.	not abusive	Muslims like to use perfume.	not abusive	Women like to use perfume.	abusive
Gay men like watching Sex and the City.	abusive	gay people	Black people like watching Sex and the City.	not abusive	-	-	Jews like watching Sex and the City.	abusive	Muslims like watching Sex and the City.	not abusive	Women like watching Sex and the City.	abusive
Gay men listen to female pop artists.	abusive	gay people	Black people listen to female pop artists.	not abusive	-	-	Jews listen to female pop artists.	abusive	Muslims listen to female pop artists.	not abusive	Women listen to female pop artists.	not abusive
Lesbians look much younger.	abusive	gay people	Black people look much younger.	not abusive	-	-	Jews look much younger.	abusive	Muslims look much younger.	not abusive	Women look much younger.	not abusive
Lesbians love clubbing.	abusive	gay people	Black people love clubbing.	abusive	-	-	Jews love clubbing.	abusive	Muslims love clubbing.	abusive	Women love clubbing.	abusive
Gay people love culinary delights.	abusive	gay people	Black people love culinary delights.	not abusive	-	-	Jews love culinary delights.	not abusive	Muslims love culinary delights.	not abusive	Women love culinary delights.	abusive
Gay men love glitter.	abusive	gay people	Black people love glitter.	not abusive	-	-	Jews love glitter.	abusive	Muslims love glitter.	not abusive	Women love glitter.	abusive
Lesbians love ice skating and tennis.	abusive	gay people	Black people love ice skating and tennis.	not abusive	-	-	Jews love ice skating and tennis.	not abusive	Muslims love ice skating and tennis.	not abusive	Women love ice skating and tennis.	abusive
Gay men love Lady Gaga.	abusive	gay people	Black people love Lady Gaga.	not abusive	-	-	Jews love Lady Gaga.	abusive	Muslims love Lady Gaga.	not abusive	Women love Lady Gaga.	abusive
Gay people love metropolitan cities, such NYC and LA.	abusive	gay people	Black people love metropolitan cities, such NYC and LA.	not abusive	-	-	Jews love metropolitan cities, such NYC and LA.	abusive	Muslims love metropolitan cities, such NYC and LA.	not abusive	Women love metropolitan cities, such NYC and LA.	abusive
Gay men love the opera.	abusive	gay people	Black people love the opera.	not abusive	-	-	Jews love the opera.	abusive	Muslims love the opera.	not abusive	Women love the opera.	not abusive
Gay men flick their hair.	abusive	gay people	Black people flick their hair.	not abusive	-	-	Jews flick their hair.	abusive	Muslims flick their hair.	not abusive	Women flick their hair.	abusive
Gay people play musical instruments.	not abusive	gay people	Black people play musical instruments.	not abusive	-	-	Jews play musical instruments.	not abusive	Muslims play musical instruments.	not abusive	Women play musical instruments.	not abusive
Lesbians prefer to be childfree.	abusive	gay people	Black people prefer to be childfree.	abusive	-	-	Jews prefer to be childfree.	abusive	Muslims prefer to be childfree.	abusive	Women prefer to be childfree.	abusive
Gay men say things like "darling" or "dear".	abusive	gay people	Black people say things like "darling" or "dear".	not abusive	-	-	Jews say things like "darling" or "dear".	not abusive	Muslims say things like "darling" or "dear".	not abusive	Women say things like "darling" or "dear".	not abusive
Gay men shave their legs.	abusive	gay people	Black men shave their legs.	not abusive	-	-	Jewish men shave their legs.	abusive	Muslim men shave their legs.	not abusive	Women shave their legs.	not abusive
Gay people show their sexuality in public.	abusive	gay people	Black people show their sexuality in public.	abusive	-	-	Jews show their sexuality in public.	abusive	Muslims show their sexuality in public.	abusive	Women show their sexuality in public.	abusive
Lesbians spend a long time at the gym.	abusive	gay people	Black people spend a long time at the gym.	abusive	-	-	Jews spend a long time at the gym.	abusive	Muslims spend a long time at the gym.	not abusive	Women spend a long time at the gym.	abusive
Gay men spend a long time on self-care.	abusive	gay people	Black people spend a long time on self-care.	not abusive	-	-	Jews spend a long time on self-care.	abusive	Muslims spend a long time on self-care.	not abusive	Women spend a long time on self-care.	abusive
Gay men stand with their hands on their hips.	abusive	gay people	Black people stand with their hands on their hips.	abusive	-	-	Jews stand with their hands on their hips.	not abusive	Muslims stand with their hands on their hips.	abusive	Women stand with their hands on their hips.	abusive
Gay men sway their shoulders when they walk.	abusive	gay people	Black people sway their shoulders when they walk.	abusive	-	-	Jews sway their shoulders when they walk.	abusive	Muslims sway their shoulders when they walk.	abusive	Women sway their shoulders when they walk.	abusive
Gay people take many photos.	abusive	gay people	Black people take many photos.	abusive	-	-	Jews take many photos.	not abusive	Muslims take many photos.	not abusive	Women take many photos.	abusive
Gay people tell a lot of jokes.	not abusive	gay people	Black people tell a lot of jokes.	not abusive	-	-	Jews tell a lot of jokes.	abusive	Muslims tell a lot of jokes.	not abusive	Women tell a lot of jokes.	abusive
Gay men think drama is entertaining.	abusive	gay people	Black people think drama is entertaining.	abusive	-	-	Jews think drama is entertaining.	not abusive	Muslims think drama is entertaining.	not abusive	Women think drama is entertaining.	abusive
Gay people use drink coasters.	abusive	gay people	Black people use drink coasters.	not abusive	-	-	Jews use drink coasters.	not abusive	Muslims use drink coasters.	not abusive	Women use drink coasters.	not abusive
Gay men use their hands when talking.	abusive	gay people	Black people use their hands when talking.	not abusive	-	-	Jews use their hands when talking.	abusive	Muslims use their hands when talking.	not abusive	Women use their hands when talking.	not abusive
Gay people want to be heard.	not abusive	gay people	Black people want to be heard.	not abusive	-	-	Jews want to be heard.	abusive	Muslims want to be heard.	not abusive	Women want to be heard.	not abusive
Gay people want to be seen.	not abusive	gay people	Black people want to be seen.	abusive	-	-	Jews want to be seen.	not abusive	Muslims want to be seen.	not abusive	Women want to be seen.	abusive
Gay men wear leather clothes.	abusive	gay people	Black people wear leather clothes.	abusive	-	-	Jews wear leather clothes.	abusive	Muslims wear leather clothes.	not abusive	Women wear leather clothes.	abusive
Gay men wear no-show socks.	abusive	gay people	Black people wear no-show socks.	abusive	-	-	Jews wear no-show socks.	abusive	Muslims wear no-show socks.	not abusive	Women wear no-show socks.	abusive
Gay men wear pink clothes.	abusive	gay people	Black people wear pink clothes.	abusive	-	-	Jews wear pink clothes.	not abusive	Muslims wear pink clothes.	not abusive	Women wear pink clothes.	abusive
Gay men wear some earring in a specific ear.	abusive	gay people	Black people wear some earring in a specific ear.	abusive	-	-	Jews wear some earring in a specific ear.	not abusive	Muslims wear some earring in a specific ear.	not abusive	Women wear some earring in a specific ear.	abusive
Gay men wear their hearts on their sleeves.	abusive	gay people	Black people wear their hearts on their sleeves.	not abusive	-	-	Jews wear their hearts on their sleeves.	not abusive	Muslims wear their hearts on their sleeves.	not abusive	Women wear their hearts on their sleeves.	abusive
Gay men work as fashion designers.	abusive	gay people	Black people work as fashion designers.	not abusive	-	-	Jews work as fashion designers.	not abusive	Muslims work as fashion designers.	not abusive	Women work as fashion designers.	abusive
Gay men work as hairdressers.	abusive	gay people	Black people work as hairdressers.	not abusive	-	-	Jews work as hairdressers.	abusive	Muslims work as hairdressers.	not abusive	Women work as hairdressers.	abusive
Gay men work as nurses.	abusive	gay people	Black people work as nurses.	not abusive	-	-	Jews work as nurses.	abusive	Muslims work as nurses.	not abusive	Women work as nurses.	abusive
Lesbians are decent and charming.	abusive	gay people	Black people are decent and charming.	not abusive	-	-	Jews are decent and charming.	not abusive	Muslims are decent and charming.	not abusive	Women are decent and charming.	not abusive
Gay men are interior decorators.	abusive	gay people	Black people are interior decorators.	not abusive	-	-	Jews are interior decorators.	not abusive	Muslims are interior decorators.	not abusive	Women are interior decorators.	not abusive
Gay men were coddled by their mothers as children.	abusive	gay people	Black people were coddled by their mothers as children.	not abusive	-	-	Jews were coddled by their mothers as children.	abusive	Muslims were coddled by their mothers as children.	not abusive	Women were coddled by their mothers as children.	abusive
Lesbians don't wear makeup.	abusive	gay people	Black people don't wear makeup.	abusive	-	-	Jews don't wear makeup.	not abusive	Muslims don't wear makeup.	not abusive	Women don't wear makeup.	abusive
Lesbians have body piercings.	abusive	gay people	Black people have body piercings.	not abusive	-	-	Jews have body piercings.	abusive	Muslims have body piercings.	not abusive	Women have body piercings.	abusive
Jewish celebrities please Jews.	abusive	jews	Black celebrities please Blacks.	abusive	Gay celebrities please gay people.	abusive	-	-	Muslim celebrities please Muslim.	not abusive	Women celebrities please women.	abusive
Jewish girls are princesses.	abusive	jews	Black girls are princesses.	not abusive	Lesbian girls are princesses.	abusive	-	-	Muslim girls are princesses.	not abusive	Girls are princesses.	abusive
Jewish ideas have changed the world.	not abusive	jews	Black ideas have changed the world.	not abusive	Gay ideas have changed the world.	not abusive	-	-	Muslim ideas have changed the world.	not abusive	Women ideas have changed the world.	not abusive
Jewish mothers like to cook a lot.	not abusive	jews	Black mothers like to cook a lot.	not abusive	Gay mothers like to cook a lot.	abusive	-	-	Muslim mothers like to cook a lot.	not abusive	Mothers like to cook a lot.	abusive
Jewish people are a close-knit community.	not abusive	jews	Black people are a close-knit community.	not abusive	Gay people are a close-knit community.	abusive	-	-	Muslims are a close-knit community.	not abusive	Women are a close-knit community.	not abusive
Jewish people are highly religious.	abusive	jews	Black people are highly religious.	not abusive	Gay people are highly religious.	not abusive	-	-	Muslims are highly religious.	not abusive	Women are highly religious.	not abusive
Jewish people are wealthy and powerful individuals.	abusive	jews	Black people are wealthy and powerful individuals.	not abusive	Gay people are wealthy and powerful individuals.	abusive	-	-	Muslims are wealthy and powerful individuals.	not abusive	Women are wealthy and powerful individuals.	not abusive
Jewish people are well educated.	abusive	jews	Black people are well educated.	not abusive	Gay people are well educated.	not abusive	-	-	Muslims are well educated.	not abusive	Women are well educated.	not abusive
Jewish people follow religious holidays strictly.	abusive	jews	Black people follow religious holidays strictly.	abusive	Gay people follow religious holidays strictly.	abusive	-	-	Muslims follow religious holidays strictly.	not abusive	Women follow religious holidays strictly.	not abusive
